GiftId,TripId
72072,0
51467,0
18905,0
80666,0
93407,0
21293,0
25822,0
97192,0
23931,0
2769,0
67094,0
52910,0
80112,0
3298,0
50972,0
10104,0
10224,0
37957,0
688,0
38036,0
35642,0
6753,0
1978,0
7869,0
44944,0
50573,0
64582,0
80561,0
15957,0
45582,0
4664,0
13268,0
32458,0
24086,0
70277,0
95083,0
37716,0
9508,0
22079,0
55505,0
53633,0
20678,0
22254,0
62754,0
47400,0
16578,0
45496,0
1227,0
55792,0
36161,0
19324,0
16852,0
12142,0
34211,0
66731,0
9208,0
44595,0
34109,0
31689,0
15143,0
35690,0
16464,0
5462,0
20981,0
33648,0
20424,0
22398,0
35909,0
31316,0
12864,0
69557,0
3417,0
27206,0
7878,0
75390,0
1530,0
74746,0
14356,0
67010,0
32214,0
9368,0
62209,0
6779,0
11675,0
14553,0
19165,0
8381,0
7857,0
33186,0
84180,0
14789,0
29085,0
98433,0
17945,0
76032,0
53807,0
21794,0
89086,0
29566,0
13956,1
36280,1
69803,1
27932,1
42258,1
91800,1
3819,1
19224,1
60401,1
62569,1
51418,1
88216,1
11931,1
46586,1
30411,1
18099,1
95474,1
70733,1
61021,1
75370,1
4543,1
66247,1
14370,1
4032,1
51069,1
60742,1
29737,1
27276,1
38834,1
57359,1
97490,1
95075,1
59583,1
55955,1
60924,1
22801,1
86094,1
45486,1
17384,1
8269,1
17972,1
48672,1
67308,1
69523,1
16955,1
80677,1
76543,1
79491,1
89992,1
1280,1
596,1
62042,1
73034,1
52690,1
27149,1
77023,1
54344,2
34906,2
12019,2
83798,2
33534,2
38621,2
7421,2
58641,2
70653,2
71094,2
28133,2
21781,2
36783,2
35323,2
58961,2
1883,2
93342,2
73449,2
46836,2
47919,2
75465,2
69868,2
50927,2
51349,2
20294,2
22887,2
35805,2
24992,2
77986,2
52472,2
26669,2
7642,2
55613,2
54106,2
70882,2
70313,2
62990,2
53390,2
65572,2
76423,2
55766,2
87643,2
21007,2
72940,2
65825,2
81275,2
89021,2
73671,2
91486,3
60126,3
23016,3
47393,3
52407,3
82880,3
12011,3
78978,3
16586,3
99144,3
60280,3
17714,3
32756,3
67388,3
66278,3
45731,3
18152,3
4674,3
83938,3
18871,3
3234,3
20179,3
18626,3
29432,3
20031,3
94443,3
84471,3
88713,3
98010,3
34672,3
18181,3
30919,3
39897,3
80375,3
12914,3
95635,3
52550,3
515,3
99599,3
93410,3
45673,3
99737,3
9613,3
67082,3
10355,3
89644,3
30047,3
33456,3
86617,3
89354,3
68495,3
35807,3
5101,3
36439,3
52267,3
85842,3
17671,3
98003,3
93891,3
7394,3
19694,3
70255,3
30445,3
49369,3
93529,3
40477,3
44592,3
88566,3
68527,3
72126,3
63659,3
83787,3
8042,4
54137,4
39894,4
7335,4
61240,4
16568,4
51142,4
51720,4
79542,4
31238,4
20498,4
3553,4
89898,4
30389,4
64601,4
86765,4
93988,4
6929,4
49822,4
34623,4
56442,4
78229,4
73769,4
30494,4
31562,4
46334,4
48273,4
52374,4
43301,4
73553,4
20390,4
19697,4
44111,4
17079,4
26694,4
58950,4
30911,4
17771,4
3596,4
26313,4
93671,4
1639,4
82352,4
11960,4
64419,4
44066,4
42562,4
37078,4
54015,4
52795,4
39617,4
29160,4
9065,4
59125,4
306,4
73860,4
62155,4
56322,4
41146,4
27038,4
52589,4
17903,4
32168,4
25645,4
45563,4
46551,4
828,4
74524,4
75149,4
34641,4
62445,4
54749,4
47264,4
45634,4
39964,4
64083,4
61479,4
52504,4
40425,4
18699,4
29343,4
60328,4
58298,4
39766,4
20032,4
63087,4
25611,4
36921,4
28760,4
9048,4
18050,4
88145,4
30537,4
42409,4
35290,4
8340,4
40966,4
28988,4
29691,4
42718,5
34400,5
50381,5
5134,5
25866,5
10292,5
92691,5
51804,5
31699,5
24804,5
21738,5
19318,5
53402,5
35379,5
55206,5
68340,5
81650,5
66183,5
40913,5
73196,5
54694,5
42763,5
68676,5
89242,5
80883,5
96108,5
4141,5
99221,5
14129,5
77656,5
91776,5
2624,5
20908,5
21219,5
93851,5
13116,5
48459,5
31069,5
4939,5
28300,5
5112,5
99593,5
75847,5
19142,5
79968,5
207,5
57705,5
1505,5
67403,6
91948,6
52955,6
63654,6
86462,6
14520,6
38130,6
43719,6
18529,6
87959,6
31582,6
43177,6
91064,6
99585,6
13668,6
9719,6
20911,6
80754,6
89838,6
93536,6
38276,6
49406,6
80732,6
50514,6
78962,6
99557,6
19347,6
7739,6
86650,6
7217,6
47387,6
9588,6
43858,6
35423,6
63382,6
75048,6
48722,6
61296,6
67416,6
97436,6
13713,7
67927,7
24127,7
61210,7
94675,7
7905,7
54825,7
25723,7
9714,7
91940,7
80519,7
52659,7
29326,7
35638,7
26955,7
11728,7
43587,7
85364,7
85944,7
25685,7
53216,7
44775,7
94318,7
30643,7
2105,7
69107,7
58539,7
67710,7
46683,7
82247,7
62315,7
87089,7
91339,7
54688,7
84472,7
23622,7
24285,7
29947,7
59886,7
46277,7
27494,7
58436,7
14788,7
41361,7
52933,7
42207,7
95277,7
28369,7
2430,7
67772,7
83966,8
89628,8
85448,8
92995,8
84376,8
71971,8
53903,8
50079,8
57673,8
82217,8
46630,8
32047,8
41123,8
70040,8
61627,8
36075,8
72491,8
87246,8
74265,8
45293,8
45830,8
51738,8
10822,8
70126,8
47234,8
34681,8
1344,8
57775,8
15543,8
73930,8
77708,8
47261,8
64996,8
63722,8
30757,8
90057,8
38152,8
40199,8
43010,8
14162,8
50029,8
21239,8
68605,8
54320,8
53167,8
78609,8
67035,8
3462,8
15256,8
45677,8
34945,8
59858,8
24430,8
4724,8
97588,8
17639,8
23438,8
74137,8
38792,9
80771,9
74482,9
51632,9
73052,9
66243,9
63079,9
9413,9
67769,9
69050,9
83699,9
53378,9
42780,9
19458,9
36858,9
56544,9
72753,9
64438,9
43693,9
67254,9
76279,9
75441,9
70593,9
50191,9
40105,9
33059,9
55668,9
32579,9
45763,9
82199,9
59222,9
31729,9
72078,9
34992,9
75737,9
83169,9
37522,9
43655,9
35764,9
75598,9
82965,9
5934,9
73486,9
38548,9
90975,9
42381,9
35058,9
13352,9
63265,9
69871,9
33620,9
35885,9
81306,9
39918,9
77595,9
91986,9
74274,9
57728,9
71590,9
47089,9
29651,9
852,9
41423,9
77609,9
50998,9
64594,9
63835,9
71720,9
65893,9
54847,9
57275,9
58246,9
66800,9
33309,9
45418,9
63731,9
49295,9
93136,9
53285,9
64541,9
8199,9
81104,9
13042,9
57756,9
34645,9
82071,9
60396,9
9886,9
76854,9
48525,9
59624,9
52985,9
70219,9
59909,9
20900,9
77064,9
33915,9
34844,10
38171,10
86242,10
25274,10
80962,10
36467,10
88441,10
67068,10
88530,10
33760,10
42658,10
24115,10
2240,10
43420,10
53060,10
96155,10
60878,10
7127,10
2687,10
87489,10
25079,10
66156,10
6511,10
45625,10
66721,10
73194,10
34129,10
14218,10
68826,10
1905,10
47253,10
35715,10
28722,10
23039,10
89092,10
72752,10
59404,10
57433,10
61912,10
62390,10
84170,10
88639,10
41408,10
15810,10
24955,10
68099,10
77868,10
68734,10
2836,10
19732,10
89641,10
21962,10
14038,10
39988,10
22494,10
94190,10
23249,10
59522,10
79991,10
61613,10
29783,10
17332,11
3372,11
20766,11
12261,11
67637,11
22014,11
88060,11
8552,11
58647,11
49185,11
98050,11
20205,11
68791,11
11188,11
9864,11
45164,11
53150,11
49828,11
85319,11
61858,11
12621,11
10653,11
85187,11
27070,11
16463,11
67267,11
45649,11
19056,11
13800,11
49277,11
90218,11
33461,11
98330,11
59103,11
59084,11
32431,11
82779,11
79292,11
14056,11
48866,11
96756,11
93109,11
65451,11
66884,11
33151,11
52182,11
7231,11
43957,11
17954,11
69293,11
49178,11
96559,11
74309,11
17199,11
70735,11
38231,11
31772,11
24270,11
70578,12
78146,12
49272,12
78235,12
60861,12
5413,12
88109,12
178,12
71359,12
24378,12
7058,12
59169,12
29156,12
59432,12
15361,12
8450,12
94674,12
31987,12
